name,type,trust,address,phone,email,activity,revenue,executive,,
Auroville Units,,,,,,,,,,
Agriculture,,,,,,Auroville Units,,,,
Architecture,,,,,,Auroville Units,,,,
Sutainable energy,,,,,,Auroville Units,,,,
Food,,,,,,Auroville Units,,,,
Art & craft,,,,,,Auroville Units,,,,
Healing,,,,,,Auroville Units,,,,
Education,,,,,,Auroville Units,,,,
Research,,,,,,Auroville Units,,,,
Business support,,,,,,Auroville Units,,,,
Fashion,,,,,,Auroville Units,,,,
Entertainment,,,,,,Auroville Units,,,,
Independent businesses,,,,,,Auroville Units,,,,
Auroville Unity Fund,Service,No trust,ACUR,,otto@auroville.org.in,Architecture,7124018,"""Alois Otto,E. Rathinam, Lyle Jaffe,Divya Kapoor""",,""""
Aurologic,Service,No trust,,,,Sutainable energy,6554526,"""Paul Vincent Baptiste,Mary Baptiste,,""",,
Auroma,Service,No trust,Prayogashala,622752/751,auroma@auroville.org.in,Business support,7208869,"""Jean Francois Bertaux,Judith Robinson,,""",,
Auroville Greenwork Resource Centre,Unlisted,No trust,Isaiambalam,,jaap@auroville.org.in,Fashion,2455259,"""Johannes den Hollander,Michael Mason,Joss Brooks,Ardendhu Chatterjee""",,
Auroville Maintenance,Service,No trust,ACUR,2622453,financialService@auroville.org.in,Architecture,4487618,"""Alois Otto,E. Rathinam,Guy Ryckaert,""",,
Auroville Projects,Service,No trust,ACUR,622455,avfund@auroville.org.in,Business support,2911386,"""Judith Robinson,E. Rathinam,,""",,
Auroville Today,Service,No trust,Surrender,,carel@auroville.org.in,Architecture,6538574,"""Carel B. Thieme,,,""",,
City Services,Service,No trust,Town Hall,2622 454,financialService@auroville.org.in,Food,3962725,"""Lyle Jaffe,Divya Kapoor,Maria Dolores Breton,""",,
Kala Khoj,Service,No trust,,,kalakhoj@auroville.org.in,Art & craft,2359041,"""Tapas Bhatt,Mark Rueters,,""",,
Martuvam Healing Forest,Service,No trust,Martuvam,93454-54232,sivaraj@auroville.org.in,Food,7950059,"""A. Sivaraj,S. Malar,,""",,
Matrimandir,Service,No trust,Matrimandir,2622204,matrimandir@auroville.org.in,Food,489797,"""John Harper,A. Elumalai,Pierre Fourquez,Srimoyi Rosseger""",,
Quintessence,Service,No trust,Prarthna,622312,,Architecture,7995753,"""Arlette Lefebvre,Jean Jacques Hoogstoel,,""",,
Auroville Child Dev. Social Research Centre,Service,No trust,Fraternity,2622 822,aurochild@auroville.org.in,Sutainable energy,5291511,"""Andre Tardeil,Eric Avril,Pramila E. Padmanaban,Mary Tardeil""",,
Nandini,Service,No trust,Aurobhakti,,nandini@auroville.org.in,Business support,1979642,"""Francoise Gabelle,,Anne Dufour,""",,
Solar Kitchen,Service,No trust,Solar Kitchen,622704,solarkitchen@auroville.org.in,Agriculture,401805,"""Angelika Beate Scheftner,Gilles Guigan,Toshita Iyyanar,""",,
Town Development Council,Service,No trust,ACUR,,avenir@auroville.org.in,Sutainable energy,1214689,"""Christian Mabilat,Nicole Mischler,Jacqueline Lacoste,Jean Francois Piot""",,
Aladin,Commercial,ABC TRUST,,,eric@auroville.org.in,Research,457174,"""Eric Vattier,,,""",,
Auro Cabs,Commercial,ABC TRUST,Kuilapalayam,9843734825,krishnaraju3@gmail.com,Independent businesses,447758,"""Krishnaraju,Lea Aldiere,,""",,
Auro Hi-Tech,Commercial,ABC TRUST,New Creation,622845,avboutique@auroville.org.in,Sutainable energy,2696498,"""P. Bhoominathan,,,""",,
Aurokriya,Commercial,ABC TRUST,New Creation,,,Architecture,5424452,"""C. Boominathan,B. Valarmathi,,""",,
Auroville Transport Service,Commercial,ABC TRUST,New Creation,2622183,avtransportserv@auroville.org.in,Business support,6592612,"""Saroja Mani Jayaraman,Saroja,Lieve Claes,""",,
Avitra,Commercial,ABC TRUST,AuroAnnam,2623310,avitra@auroville.org.in,Food,1642292,"""Michael Koot,Tejas Jospeh,,""",,
Ganesh Bakery,Commercial,ABC TRUST,Kottakarai,2622535,sundaram@auroville.org.in,Food,2560023,"""Sundaravinayagam,S. Irissammal Amudha,,""",,
Happy Foods,Commercial,ABC TRUST,Arc en Ciel,9655545940,gunalakshmi.av@gmail.com,Business support,3244868,""",Gunalakshmi Rajamani,Ganesh Rajamani,""",,
Holistic,Commercial,ABC TRUST,Svedam,,,Art & craft,1994720,"""Christine Pauchard,Sigrid Lindemann,,""",,
Information Service,Commercial,ABC TRUST,Visitors Centre,2622239,avinfoService@auroville.org.in,Architecture,6367038,"""Nicole Clarence Smith,P. Kantha,Santosh Malik,""",,
Linea,Commercial,ABC TRUST,Aspiration,622265,nicola@auroville.org.in,Art & craft,6453317,"""Nicola Porro,,,""",,
Maha Travels,Commercial,ABC TRUST,Kuilapalayam,,avbalaji@gmail.com,Healing,7895884,"""M. Sundaravinayagam,S. Balaji,,""",,
Mandala Pottery,Commercial,ABC TRUST,Dana,622071,chinmayi@auroville.org.in,Food,1014702,"""Heidi Fellensiek,Anna Maria Brost,Adil Writer,""",,
MiA Studio,Commercial,ABC TRUST,Auromodele,2622800 / 94420-32130,mia@auroville.org.in,Fashion,5339056,"""Coriolan Weihrauch,Marta Canderle,,""",,
New Creation Corner,Commercial,ABC TRUST,New Creation,2622404,andre@auroville.org.in,Architecture,5504346,"""Andre Tardeil,Marie Babu Tardeil,,""",,
Nymphea Creations,Commercial,ABC TRUST,Svedam,622154,veronique@auroville.org.in,Education,4128168,"""Louis Morlaca,Veronique Domingo,,""",,
Plastic Seasongs,Commercial,ABC TRUST,Aurobhakti,2622147,elodie@auroville.org.in,Fashion,2370471,"""Mukta den Hollander,Elodie Desrousseaux,,""",,
Prakrit,Commercial,ABC TRUST,Auroshilpam,94422881711,torkil@auroville.org.in,Fashion,7749337,"""Torkil Dantzer,Uma Prajapati,,""",,
Rainbow Colours,Commercial,ABC TRUST,Aurobhakti,,prema@auroville.org.in,Fashion,6128062,"""Myriam Isaac,Kishore Cariappa,Prema Isaac,""",,
Roma's Kitchen,Commercial,ABC TRUST,Auromodele,622032,romahira@auroville.org.in,Agriculture,4454141,"""Roma Hira,,,""",,
Sunrise Taxi,Commercial,ABC TRUST,Kuilapalayam,9787085283,boobalan@auroville.org.in,Business support,4620393,"""Boobalan Masilamani,Mohan Jayaraman,,""",,
Sunshine Music,Commercial,ABC TRUST,Shranga,2623006,sunshinemusic@auroville.org.in,Food,5008138,"""Kerstin Suchanek,,,""",,
Tanto,Commercial,ABC TRUST,New Creation,2622368,daniele@auroville.org.in,Architecture,5617689,"""Daniel Emdin,Paul Berdah,Sheril Castelino,""",,
Upasana Design Studio,Commercial,ABC TRUST,Auroshilpam,2622939,upasana@auroville.org.in,Healing,5725486,"""Uma Prajapati,Manoj Pavitran,,""",,
Vijayasri Consultancy,Commercial,ABC TRUST,Centre Field,9443458884,vijiauroville@gmail.com,Agriculture,6662348,"""Saravanaraman Ekanbaram,S. Vijaya,,""",,
Well Studio Cafe,Commercial,ABC TRUST,Svedam,2622863,omerguel@gmail.com,Fashion,6980729,"""Orly Merguel,Veronique Domingo,,""",,
AuroNet Connect,Commercial,ADPS TRUST,Prayogashala,2622293/294,sysop@auroville.org.in,Research,1017299,"""Ulrich Blass,Bobby Patel,,""",,
Auroville Online Store,Commercial,ADPS TRUST,Prayogashala,2622187,,Independent businesses,7266629,"""Ulrich Blass,Suzanne Sabatie,Stephan Himmer,""",,
CADD Studio,Commercial,ADPS TRUST,Prayogashala,2623811,caddstudio@auroville.org.in,Architecture,1604292,"""Dirk Kievith,Gabrella Baldazza,,""",,
Cynergy,Commercial,ADPS TRUST,Auroshilpam,2622745 & 2622059,info@cynergy.com,Business support,6713962,"""Monica Tobar Alvarez,Akash Heimlich,,""",,
Guru Amplifiers,Commercial,ADPS TRUST,Prayogashala,622293,,Art & craft,6779570,"""Roy Lawrence Chvat,Matthias Achenbach,,""",,
Light Fish,Commercial,ADPS TRUST,Aurelec,9442526287,samvit@light-fish.com,Fashion,2424658,"""Samvit Blass,Simone Dumont,,""",,
Mira,Commercial,ADPS TRUST,Auroshilpam,2622747 / 2623404,bobby@auroville.org.in,Sutainable energy,3477717,"""Bobby Patel,,,""",,
Prisma,Commercial,ADPS TRUST,Prayogashala,2622296,prisma@auroville.org.in,Food,1636911,"""Tim Wrey,Franz Fassbender,,""",,
Auro Rachana,Commercial,ALTECS TRUST,Hope,2622175/2623562/2622408,candc@auroville.org.in,Business support,7650858,"""Christa Ursula Gruttman,Clemens Gruttmann,,""",,
Penta Services,Commercial,ALTECS TRUST,Auroshilpam,622066,penta@pentaServices.com; ,Sutainable energy,2129175,"""Theo Waalkes,Ela Thole,,""",,
Sunlit Future,Commercial,ALTECS TRUST,Auroshilpam,,,Healing,473564,"""Divya Kapoor,Ritesh Kapoor,Joerg Zimmermann,""",,
Lumiere,Commercial,ANKUR TRUST,Fraternity,"2622531, 2622214",lumiere@auroville.org.in,Architecture,6645553,"""Suzanne Sabatie,Claude Arpi,,""",,
Shradhanjali,Commercial,ANKUR TRUST,Auroshilpam,622172,shradhan@auroville.org.in ,Food,1417262,"""Abha Arpi,Claude Arpi,,""",,
Animal Care,Service,ANIMAL CARE TRUST,Certitude,,,Sutainable energy,6251759,"""Kalyan Nag,Dee Decew,,""",,
Maroma,Commercial,ARAVINDA TRUST,Aspiration,622126,maroma@maroma.com,Art & craft,267495,"""Paul Pinthon,Laura Reddy,,""",,
Artisan Revolution,Commercial,ARTISANA TRUST,,8489197701,info@breadandchocolate.in,Architecture,7729512,"""Jane Mason,Fabien Bontems,Mirra Tardeil,""",,
Auroline,Commercial,ARTISANA TRUST,Sangha,622571,ireno@auroville.org.in,Education,1601761,"""Ireno Guerci,Patricia Mengozzi,,""",,
Auroville Associated Architects,Commercial,ARTISANA TRUST,Grace,622149,helmut@auroville.org.in,Fashion,3626372,"""Helmut Schmid,E. Vijayan,,""",,
Auroville Electrical Service,Commercial,ARTISANA TRUST,Abri,2622132,aves@auroville.org.in,Fashion,6817704,"""M. Ponnusamy,,,""",,
Auroville Papers,Commercial,ARTISANA TRUST,Aspiration,"2622122, 2622619",aurovillepress@auroville.org.in,Art & craft,1953998,"""Herve Millet,Luisa Meneghetti,Shandra Cornec,""",,
Auroville Press,Commercial,ARTISANA TRUST,Aspiration,"2622122, 2622619",aurovillepress@auroville.org.in,Fashion,6844083,"""L. Jayalakshmi,Luisa Meneghetti,Christine Devin,""",,
Auroville Printers,Commercial,ARTISANA TRUST,Aspiration,"2622122, 2622619",raju@auroville.org.in,Research,3369593,"""James Arockiaraj,Alok Aurovilian,,""",,
Auroville Press Publishers,Commercial,ARTISANA TRUST,Aspiration,,aurovilleprinters@auroville.org.in ,Fashion,5687401,"""Alain Bernard,,Christine Devin,Herve Millet""",,
AV Food Activities,Commercial,ARTISANA TRUST,ABC Building,2622215,ananda@auroville.org.in,Independent businesses,5677157,"""Jean-Francois Bertaux,K.Kumar,Antonio Scirocco,""",,
Capability Landscape,Commercial,ARTISANA TRUST,Certitude,622218,,Education,7021549,"""Francois Grenier,,,""",,
Flame,Commercial,ARTISANA TRUST,Dana,622071,flame@auroville.org.in ,Art & craft,5540608,"""Michel Hutin,,,""",,
Ganesh Beads,Commercial,ARTISANA TRUST,Kottakarai,622050,,Architecture,2535456,"""K. Lakshmi,L. Ganesh,,""",,
Joy Postcards,Commercial,ARTISANA TRUST,Auromodele,622340,joyindia@auroville.org.in,Art & craft,7820191,"""Sven Ysendoorn ,,,""",,
"La Boutique DAv, Auroville",Commercial,ARTISANA TRUST,Info. Centre,622150,,Food,5470034,"""Myriam Isaac,A. Selvi,,""",,
